,Images_Per_Label,Train_Data_Size,W,Residuals,Classification_Accuracy,CLS_Cosine_Similarity
0,15,2940,"[[  5.010842     4.95058      4.3727508  ...  -2.7534418    2.602283
   -4.002346  ]
 [ -4.8458233   -1.7960268   -2.8616343  ...   3.4780984   -0.28642803
    4.0852146 ]
 [  2.2189476    7.7234106  -13.997582   ...  15.647599     0.23229922
   -3.004199  ]
 ...
 [ -8.08629     10.131645     4.184099   ...  10.507597    -2.1822937
   22.608377  ]
 [ -1.9543523   18.757696     0.3919372  ...   1.7753565    7.7658424
   -4.0033803 ]
 [ -0.78373224   8.219623     2.9599996  ...   3.2867632    1.32053
   -1.469345  ]]","[195.36101 267.40295 214.30695 203.55208 174.69943 265.45114 252.71996
 171.57741 243.86931 236.4093  198.9396  191.73137 210.4166  240.58385
 210.3613  297.03983 219.1678  243.58371 190.77682 185.9339  259.98297
 796.75824 210.66751 254.78056 310.9502  288.92905 149.39232 251.5777
 255.80914 262.60425 290.43594 228.8381  203.2573  308.70767 260.6029
 207.33432 211.80975 237.9109  264.6274  169.31995 245.603   246.24042
 239.3914  259.10373 234.79286 216.74855 335.40668 170.43188 442.52316
 166.18042 286.364   342.10727 313.32712 201.9616  199.66605 212.52705
 219.36949 163.85625 248.35709 212.62592 288.44196 271.87277 192.03003
 175.42732 216.9958  223.27333 212.20769 193.8363  322.14548 218.16464
 243.72661 202.44176 265.86813 324.37677 182.74086 209.99988 230.45265
 207.39725 217.44472 183.8036  190.06702 276.4066  246.14764 305.09952
 294.45566 205.17142 309.48074 217.49228 283.1292  241.94734 188.77689
 237.93518 265.7804  260.7065  340.2261  200.64189 227.6778  277.69424
 170.03075 285.66498 279.5915  196.52812 212.49785 271.38602 238.21841
 272.13412 209.74174 212.38937 292.27826 207.9832  260.77832 180.88899
 221.10175 220.69534 285.08688 256.89056 288.5506  216.12668 237.79094
 166.04237 227.77937 198.71288 220.06189 228.0518  259.38852 191.31882
 185.1112  182.13841 279.77646 330.3881  254.72763 278.06436 232.98207
 248.89369 246.4501  225.39653 167.92229 184.25201 275.52567 217.14737
 240.32753 246.68881 270.937   268.99515 177.2618  249.04591 309.9139
 190.41676 157.83427 367.13217 218.76141 248.28816 204.03465 204.67365
 391.37006 241.17046 161.51474 277.19037 338.888   176.96747 230.23343
 201.63968 243.28831 200.61308 229.11699 331.1435  179.5327  230.8686
 310.11652 205.11078 173.55914 310.51025 234.93135 244.5604  212.90677
 223.60158 283.13098 260.95898 267.66772 212.4463  198.37863 316.01773
 255.76244 236.08781 240.35893 254.64163 330.07098 223.75247 302.0906
 352.6184  195.3255  297.1486 ]",0.017162044521825643,0.295897182136301
1,15,2940,"[[ 1.4829925  -2.6637366   4.3165946  ...  1.5951122   1.6377559
  -2.978712  ]
 [-0.8297957   1.1294429   2.7438135  ...  4.410718    4.8170757
   1.5966597 ]
 [-2.1120987   0.5683658  -1.5717344  ...  4.259189   -2.9778595
   3.53028   ]
 ...
 [-0.74144953 -1.48004    -2.8951483  ... -0.08158081 -2.8392408
  -0.18835527]
 [ 0.3409286   1.165819    0.09845382 ...  0.7823584   0.53730077
   1.1651522 ]
 [ 2.8424394   1.9094176   6.665265   ...  2.579448    2.5218472
   0.00708591]]","[191.28336 246.95876 200.44466 182.97533 160.93843 258.229   237.41719
 159.49771 222.24796 226.6773  184.60107 187.2901  197.12558 230.33727
 184.10384 282.41376 204.5878  214.29785 173.94687 171.94804 243.34152
 776.0809  201.75189 240.13603 285.2836  267.92914 140.25009 237.94325
 232.47281 243.30974 267.32428 220.66597 197.04411 280.13257 230.29367
 196.70728 198.14928 221.13702 246.99095 158.1954  238.8816  207.45102
 228.11781 236.89282 226.00941 203.9555  304.05447 162.43619 393.01688
 155.24466 264.5385  323.20782 270.59494 193.61032 182.29492 186.78482
 208.59001 150.52255 241.68657 201.49873 273.16782 247.71666 177.8397
 160.7134  199.29831 206.58434 198.71175 184.135   298.16766 193.76952
 225.75568 193.91676 246.89006 306.6075  162.67758 197.6781  206.03723
 193.30421 209.18343 175.22656 177.93187 258.5947  224.63286 285.42285
 265.82193 191.88461 291.84314 200.61975 267.65167 236.18924 177.92479
 221.19257 252.03363 245.83522 314.41788 198.08978 212.08603 258.69223
 163.17105 265.50482 259.7895  181.86107 191.81544 252.617   212.08028
 258.04697 190.01404 195.55147 278.28244 195.81459 244.25943 171.6261
 213.16737 208.37715 259.3902  243.25456 263.4232  204.55513 222.9729
 159.61304 216.64236 185.558   205.63603 204.20378 228.49419 182.4438
 174.22922 160.46869 257.8898  287.18137 233.33443 245.64209 208.60312
 233.03203 227.69977 204.84009 163.59468 179.58116 248.91068 193.85187
 221.83199 230.83032 243.26341 243.70776 166.92368 238.19212 293.93265
 180.26016 143.15787 309.15485 212.31172 236.09798 191.29057 187.32214
 359.3804  221.1691  151.5132  268.67413 308.5221  165.80223 218.52629
 192.94427 226.51958 188.8739  216.21527 310.45544 176.65662 215.87967
 283.90683 195.74658 163.43672 288.24994 225.14005 215.7374  199.34238
 208.66626 258.19864 242.6513  248.44182 202.96486 183.54147 285.4584
 242.5121  222.64607 220.06313 244.34102 296.57385 213.14285 284.53253
 320.95102 178.87851 256.23047]",0.04141275960701405,0.3793490398970861
2,15,2940,"[[-0.25643912  0.79211015  1.2172064  ... -9.7779045   4.4510255
  -4.039323  ]
 [-3.349029   -3.9058282   8.092767   ... -0.33498275  3.2311532
  -0.7877229 ]
 [-0.797346   -0.7588132   0.253358   ...  0.04009044 -2.2351768
  -3.4525816 ]
 ...
 [ 0.03907118 -1.7457954   0.12976944 ... -0.12522563  0.36839843
  -2.7008588 ]
 [ 0.20619048 -1.8273278  -0.23016083 ...  5.3927655   5.1327496
  -4.710816  ]
 [ 2.4384637  -4.147626    2.8416905  ...  1.7305824   0.19177411
   1.9393016 ]]","[185.38777 240.69754 193.41599 176.33195 154.79916 243.8999  230.65709
 154.5431  213.71758 223.82993 176.61606 184.12836 190.78336 219.59474
 168.06326 265.67737 196.94913 205.10817 163.02763 165.99298 238.77072
 762.9635  189.91437 228.7858  275.90396 254.36745 134.94632 224.40726
 220.66968 230.09393 258.79785 215.7123  186.34431 260.29666 220.66624
 189.51068 188.47897 206.41003 238.38303 152.5219  223.86603 198.17946
 215.9519  227.70677 220.19814 194.56432 286.86972 161.77805 384.6379
 146.78812 250.84901 308.08502 255.74681 181.72263 177.95374 177.681
 198.75124 142.99944 234.15907 190.88988 263.1168  231.93776 173.48012
 158.4399  194.71567 199.99905 193.75406 177.86487 282.33743 189.06299
 216.57724 182.4331  232.90828 295.7902  155.29439 189.32864 201.0043
 186.54611 201.8559  171.28635 175.34767 245.20938 219.9555  279.35214
 258.5853  185.36403 281.4829  192.67918 258.10107 228.0907  172.4222
 212.53217 244.85805 238.78247 303.75015 194.78836 208.16173 243.83923
 156.39224 257.2919  246.43709 177.23099 178.7042  237.51515 191.15971
 248.62682 183.50261 185.23589 265.80664 182.5696  232.46211 165.86017
 207.00215 201.85278 250.4536  238.68582 247.0817  197.08223 218.4209
 153.83617 211.86958 175.7589  203.49411 202.84584 215.86244 167.79391
 169.26048 155.57172 247.31339 269.4305  226.29567 228.65068 203.55682
 230.82428 218.41965 191.69283 157.28867 169.4185  222.50064 184.22783
 217.42438 222.91179 228.55148 229.6628  160.6875  231.74449 286.60376
 170.90445 137.30106 293.57724 202.20935 231.30545 178.90001 177.59286
 344.09412 204.99692 144.15814 255.6077  295.78043 158.76228 214.83063
 185.06107 217.98476 182.53992 207.78452 293.70645 171.36499 208.22105
 268.71848 191.43599 159.31831 280.20526 217.50647 205.09192 196.30437
 201.21982 252.75075 231.51971 238.43454 190.44048 173.07314 269.58032
 233.38968 208.27399 209.92552 238.37305 272.71555 211.93752 272.38892
 300.94186 172.17744 235.41678]",0.052854122621564484,0.42031294769710964
3,15,2940,"[[-0.7940215  -1.1083001  -1.5689112  ... -1.260268    2.8404171
   0.4901651 ]
 [-2.1161606   1.5958922   0.1986723  ...  3.7355573  -3.358378
   5.6920633 ]
 [ 0.03135182  1.9700183   4.308608   ...  1.6194513  -0.789045
   0.10464341]
 ...
 [ 0.7599551   1.0176607  -0.5218337  ...  1.3654445   0.03166886
   0.30161336]
 [ 1.1822206  -1.3560205   3.2191253  ...  0.89460653 -0.86267394
  -2.0678713 ]
 [ 1.3753829  -3.5057514   0.13699502 ...  0.07400466  0.5069293
  -0.7277949 ]]","[176.55492  229.36781  186.14638  168.48749  147.47968  224.77927
 216.76366  138.85242  206.96858  211.75955  164.58302  172.2394
 180.974    199.03566  151.90822  241.4273   186.99304  194.30186
 154.13696  154.60374  221.87329  752.01575  176.58142  214.87088
 256.59622  224.98558  127.634964 208.22107  208.82262  205.66211
 240.5057   207.876    172.83131  234.1309   207.36493  186.09695
 176.97575  196.73483  232.21066  142.57072  213.54112  186.08626
 190.06985  211.36765  210.5735   186.43924  255.3404   145.66545
 336.14145  140.40256  215.89583  291.85007  241.87361  167.06818
 163.33893  169.47289  185.52617  135.69377  215.60095  180.0093
 236.46771  212.53091  159.74593  150.96931  184.78493  183.37732
 187.96954  174.50703  255.1715   179.15959  210.31485  175.42915
 219.86005  282.59106  145.46175  176.75504  183.31311  174.82446
 188.82599  161.60683  169.45346  230.9803   206.2556   264.34415
 234.27562  176.33719  255.63344  182.85909  242.40735  201.96088
 164.66678  197.76732  229.49368  226.10332  279.73822  184.19145
 192.35162  218.43138  147.67029  235.28514  226.88234  164.8252
 169.52563  216.48381  178.32278  233.19167  169.57191  175.4032
 251.23737  171.23027  212.96478  158.37247  197.41547  191.3114
 220.32144  227.58347  221.81691  183.14456  201.85817  141.2087
 195.1933   162.87723  181.82849  190.5016   197.7632   160.40207
 158.50356  147.18803  230.23468  235.02298  213.64516  206.36024
 189.52444  220.28386  206.77435  173.53433  149.01866  168.15419
 207.07707  176.21928  212.08574  211.82085  209.78934  210.11343
 150.1711   211.35716  273.95667  171.6059   124.30364  249.31946
 193.76462  212.5839   169.93204  166.69247  298.80243  184.29097
 139.84761  234.5407   265.06522  140.15587  200.34895  174.33968
 205.55309  173.57613  206.04776  271.35233  155.3468   192.75146
 241.84857  179.18042  153.17863  249.79562  205.66782  192.90186
 183.06929  183.0698   229.35596  221.96156  223.092    183.86082
 160.52461  253.825    218.6428   189.88516  195.0764   216.0515
 237.41368  197.11057  257.7176   274.73688  163.06416  212.15665 ]",0.08593458525059072,0.48090379980821457
4,15,2940,"[[ 0.4596844   1.5433406  -0.5992811  ...  1.6589609  -1.0635511
  -0.5014289 ]
 [ 0.04037839  0.01536695 -0.7437632  ... -0.29884726 -1.2795205
   1.7955288 ]
 [-0.0209375  -0.38245842  0.45308205 ...  0.7850148   0.44848108
   0.38826588]
 ...
 [ 0.36220002  0.22755438 -0.70965314 ...  1.2264235   0.38691694
  -0.13632344]
 [-0.17447178 -0.9450573   0.7632229  ...  0.23238346  1.574079
  -0.66066045]
 [ 0.3016477  -2.293218   -0.05109097 ... -1.9669544   1.092644
  -0.6953723 ]]","[170.11598 212.41296 174.89255 165.49185 139.55392 212.22342 206.47694
 133.43277 195.35329 200.17644 159.32217 160.15804 168.70892 184.96463
 146.9085  227.8043  182.73096 182.12152 145.25845 149.83475 207.08391
 741.6134  171.8158  202.15059 242.1935  207.8809  126.57372 196.86282
 201.46815 192.95737 233.56152 201.90756 170.00603 212.39848 195.82646
 183.29407 172.09024 187.01038 220.69058 135.64053 203.9557  169.53125
 182.16127 188.24847 201.84276 182.26593 228.94266 139.04877 289.41846
 132.1007  198.28001 278.6365  222.70256 163.43875 158.60228 160.45638
 171.42897 132.26422 200.92162 168.75224 224.04373 207.74696 154.63087
 150.08698 172.84825 176.7503  186.04117 166.78694 233.73497 177.64786
 193.96461 171.28726 206.60591 278.7285  137.08897 172.77678 173.43896
 166.21146 181.04436 157.81293 162.75105 220.07567 195.10219 254.52179
 214.0389  170.22118 230.87589 175.71132 226.77597 190.34305 158.80312
 187.248   211.5234  218.05347 252.94128 178.71844 183.2797  210.63649
 142.72914 216.94649 205.02107 153.51353 158.60655 210.40726 166.22885
 217.19977 160.88367 171.31401 232.48457 166.87471 207.49489 155.45193
 189.26646 181.13893 211.21634 211.1626  206.21744 170.53954 193.6627
 135.96959 186.76584 157.91348 173.38426 180.00525 191.67236 148.50597
 153.7663  142.23872 215.01054 217.5997  201.87427 193.07332 182.53793
 215.90811 190.0744  163.00157 148.28291 160.11958 189.4743  173.06161
 204.86508 204.8367  203.85588 203.53185 140.44688 198.22467 257.9879
 161.67839 120.79956 227.94954 189.85408 199.08873 155.50275 157.87024
 270.13776 175.54518 134.4709  222.13307 242.45169 132.26053 188.78021
 164.19246 193.1098  167.92937 197.52826 252.70757 148.52426 182.90457
 230.664   178.48471 146.7809  233.14742 197.92691 183.25702 171.02591
 172.59236 210.99571 216.61165 214.68767 179.2116  158.70093 239.7519
 209.74583 177.70007 187.2421  201.11617 216.77814 181.93942 244.04347
 260.84677 156.26959 197.84708]",0.11540853127720432,0.5192879261005492
5,15,2940,"[[ 1.9738942e-01  7.0771104e-01  2.7873030e-01 ...  1.4222896e-01
  -8.3896178e-01 -6.5569557e-02]
 [-2.4684143e-01  1.8975439e+00  7.0197833e-01 ...  5.9566492e-01
   6.4267345e-02  8.4931684e-01]
 [-1.9433720e-01  1.4064375e-01  1.4911841e-01 ... -8.3654061e-02
   5.1237869e-01  1.0174985e+00]
 ...
 [-1.2280176e-03 -4.2286415e-02 -4.0806285e-01 ...  2.2851767e-01
  -7.6422162e-02 -7.3749048e-01]
 [-8.9206862e-01 -9.3421173e-01 -5.6758225e-01 ...  8.7530994e-01
   9.9555176e-01  7.2551798e-03]
 [ 8.4310257e-01 -2.2970560e-01 -1.7570149e-02 ... -1.3465223e+00
   4.7539338e-02 -2.8376392e-01]]","[162.8868   208.103    166.20651  164.20851  136.84366  212.14326
 206.40645  129.74223  188.05292  193.09663  154.86935  160.45691
 161.11943  185.56676  140.1668   218.81535  174.73047  176.93192
 139.31172  142.54431  206.76659  728.7435   166.58449  190.80768
 240.52034  197.07791  123.22919  192.29417  192.21585  193.07654
 222.56831  200.52611  164.47922  205.67145  195.23367  180.25417
 167.47452  180.32245  209.59946  131.03807  203.2309   162.46078
 172.44615  176.61966  194.97647  173.68633  213.43604  136.16339
 277.2977   128.38864  196.89261  274.5124   203.61798  156.64159
 154.44621  156.69637  169.87819  126.503136 192.49016  168.00964
 216.69072  199.0079   149.7561   143.86485  164.76015  172.77818
 182.50598  162.09741  225.67036  171.55435  188.22452  164.36777
 199.88861  268.8446   130.00504  170.8218   172.89815  158.7862
 175.74632  155.36024  156.24927  214.59451  189.41055  246.65192
 207.67332  166.92415  235.83179  170.10184  216.45287  175.7524
 156.9883   183.15236  207.33078  211.91768  236.85434  172.32816
 182.04993  209.59293  140.07959  204.4081   196.86072  143.94972
 153.22069  204.80048  152.46794  210.5431   154.26717  164.98917
 230.29268  157.36964  203.0358   149.15973  187.00262  180.61041
 205.85367  209.2746   202.38123  167.99745  191.27261  132.79692
 181.11345  152.99355  170.5789   168.91867  187.7053   145.37698
 142.48404  143.08742  209.22865  206.21693  201.62874  185.69997
 178.4483   202.9703   181.1665   165.17618  143.20949  154.5242
 181.96425  166.1244   201.94778  199.62161  197.73827  194.66747
 137.58382  194.55673  254.19814  156.01793  119.27327  215.45293
 178.64844  196.1503   150.42966  148.45169  263.58694  170.5993
 132.38219  215.48486  234.23442  127.18518  183.39517  154.42047
 183.4791   162.5053   196.17282  245.27127  143.74837  175.69955
 224.47345  172.51712  142.04282  220.02907  193.33527  176.06163
 162.95584  167.00528  208.39777  209.62962  211.42612  172.73526
 156.04472  231.37585  204.20992  165.96814  178.41376  187.84091
 209.0765   177.91864  236.82237  255.20206  147.77188  195.12378 ]",0.12784479542345478,0.5404686790610117
6,15,2940,"[[ 0.90538526  0.44820145 -0.15898919 ...  0.3200186  -0.71372795
   0.5587158 ]
 [-0.55497193  0.31944305 -0.19485871 ... -0.18066064  0.7941676
   0.6629284 ]
 [-0.5344879  -0.06271578  0.02899435 ... -0.16026993 -0.20390894
  -0.24319133]
 ...
 [-0.12777062  0.34364548 -0.4080248  ...  0.29688126 -0.1962493
  -0.26376677]
 [-0.10688217 -0.440104   -0.41900018 ... -1.0585748   1.3045231
  -0.76161146]
 [ 0.10279856 -0.17358299 -0.71207416 ...  0.0869108  -0.6279937
  -0.4222681 ]]","[144.34683  190.55948  148.81761  145.21872  122.489395 176.8388
 184.42119  116.195496 164.47897  174.13547  143.75574  143.4046
 141.93869  171.79808  127.986115 189.92981  158.81784  152.0315
 128.75883  130.54727  180.72026  706.2331   144.04063  177.54967
 206.81357  172.68979  112.932434 174.00946  187.26372  169.09581
 192.38127  179.0452   151.14583  180.81548  174.34778  157.96727
 152.64221  173.53319  189.43898  115.83586  182.5673   138.98418
 157.92442  167.35493  173.11862  163.18358  180.10585  121.098885
 222.4624   117.131546 175.09175  238.89117  172.98769  142.40712
 137.29161  145.04164  148.57703  115.15012  173.88362  148.12285
 178.36742  178.00206  134.65836  132.63666  154.1952   148.25519
 163.38518  148.40642  189.51793  153.31952  170.25479  144.58487
 172.20207  238.75851  114.25957  149.37465  158.97229  143.88814
 157.48015  142.26505  149.27081  200.73082  162.69182  207.08629
 171.33113  147.93562  209.67174  163.56824  206.82954  159.57831
 147.92357  157.06548  194.5593   189.89905  214.32259  161.24963
 156.84737  189.74301  126.63918  172.9649   178.12015  130.14941
 144.30757  183.47708  133.51184  177.88524  135.46445  152.35916
 206.88628  131.24136  178.17197  141.6563   168.10352  166.31429
 182.10916  188.85776  167.2751   145.01903  172.17842  124.697395
 163.52289  143.8416   151.56013  150.85362  163.34589  134.64255
 134.32773  127.3666   184.29079  180.12589  170.87823  167.08694
 158.7566   182.42213  164.8511   140.58357  129.44963  135.36418
 156.8688   156.3387   179.35995  180.68903  182.5777   172.4352
 127.82789  174.11113  224.01094  143.87332  107.94018  181.14703
 165.98698  173.81856  134.35455  138.6791   212.8461   148.69054
 123.17342  193.56227  197.51219  117.58158  158.77605  139.1804
 159.15993  149.12537  179.06087  206.66333  132.98117  153.88481
 190.7318   157.0979   129.53117  179.91562  174.04372  154.5363
 142.76338  145.20572  188.31694  197.65341  189.20485  156.95851
 143.67993  199.46686  181.6936   146.09952  161.69579  171.39182
 172.56367  164.5101   213.22662  229.37033  135.30154  159.26404 ]",0.1948762591717448,0.6051685743861728
7,15,2940,"[[ 0.8618762   0.38031214 -0.06871463 ... -0.27946746 -0.16309482
  -0.13967246]
 [-0.21935783 -0.27378806  0.23344828 ... -0.26568884  0.51297385
  -0.27174628]
 [-0.1296641   0.34054488  0.8176567  ... -0.4089363  -0.30119208
   0.15020575]
 ...
 [ 0.14672679  0.07386     0.06570405 ...  0.64876676 -0.04523425
   0.11489139]
 [ 0.08635665 -0.04361853 -0.19405575 ... -0.4868359   0.66975296
  -0.5926505 ]
 [ 0.44043186 -0.2384057  -0.24223024 ... -0.10409066 -0.25675008
   0.36210713]]","[126.44864  165.2373   134.90395  126.28053  109.235405 154.25551
 165.95763  102.22153  135.42174  149.42566  122.62973  126.93985
 126.71195  146.30446  105.86094  169.5345   133.56834  136.00357
 109.762794 114.81943  154.34462  682.68414  130.83728  154.74722
 179.04431  154.59468  104.02092  151.58759  151.07108  143.77782
 159.08284  149.6078   130.45204  139.87683  148.08455  134.62024
 134.09137  146.98389  157.6489   108.81081  148.93782  114.814156
 142.4953   130.28737  141.57957  143.30206  150.87978  100.0838
 187.6652   100.78756  153.47182  206.13629  143.64398  121.246544
 126.535774 127.46482  126.27735  105.09226  142.7699   139.91968
 151.58809  151.67769  119.5177   115.75268  128.94574  131.28627
 154.25906  126.945885 152.91356  129.3164   143.99771  115.05078
 138.06364  207.2933    96.64409  128.29015  137.60896  125.09779
 142.35652  120.19673  125.762726 164.9165   142.71638  175.8935
 132.56184  120.01109  163.85678  139.82097  158.64896  133.78748
 125.40886  141.14638  168.62477  157.88496  167.1788   142.06895
 130.6663   164.62424  113.51864  140.44475  157.02348  115.910774
 120.400276 157.97485  106.29438  159.60298  126.10241  129.75246
 185.35071  108.178154 150.0789   122.0304   143.47014  139.83669
 153.23979  158.73723  143.65361  121.08928  147.36795  111.47391
 145.27097  125.32424  125.984634 125.17638  139.95511  111.20362
 110.0512   110.62389  153.60779  154.21751  147.58986  141.97498
 138.84077  165.7644   133.28957  123.487785 117.043144 116.720665
 136.55547  129.24796  147.83722  148.5712   163.7031   146.99792
 118.52973  148.55823  184.93245  123.50732   98.24082  151.70639
 130.40074  152.4004   121.889336 125.56963  173.64137  125.197044
 108.80834  172.04175  172.6702   104.69775  142.60046  108.39795
 146.71152  119.632164 169.6431   166.21164  119.36614  130.76613
 151.6657   140.3657   118.63638  143.40883  148.86673  138.53384
 129.57147  130.25237  153.95525  160.82501  154.05101  139.3981
 125.8298   162.9046   149.22551  127.841515 135.83904  148.8107
 149.69215  142.87378  192.81976  178.67879  117.59459  138.61407 ]",0.2972267130953861,0.6748068200217353
8,15,2940,"[[ 0.7127008  -0.06086474  0.02464733 ... -0.00634542  0.01814707
  -0.05598563]
 [ 0.22565718  0.66263723 -0.07225879 ... -0.16959973 -0.08378214
  -0.12832972]
 [-0.04474789  0.02203864  0.69038194 ... -0.06609181 -0.12077928
  -0.01950685]
 ...
 [ 0.0209685   0.04577477  0.01466821 ...  0.8065168   0.14702584
   0.11138675]
 [-0.17003278 -0.22130911 -0.08821242 ...  0.01256669  0.5791714
  -0.24811453]
 [-0.00937888  0.07689714  0.03515545 ...  0.08857701 -0.10866588
   0.7787615 ]]","[104.75752  142.75168  108.38807   98.808846  89.475815 108.215034
 118.431114  82.9682   117.006966 108.92592   95.18568  100.06065
 100.95809  105.1738    85.65215  135.92868  118.82601  109.220955
  94.83094   99.38258  106.66474  646.70197  100.51694  122.34511
 128.74486  113.45826   82.53641  125.83027  120.284546 113.34224
 129.31247  116.92716  105.626015 113.286385 117.65508  106.448166
 107.54553  108.653694 124.41529   96.25791  114.78574   92.85245
 112.125114 102.87065  116.21454  120.598495 117.04848   80.71055
 117.42571   82.868576 104.34493  156.13078   99.57316   98.01106
 103.4301    97.56092  104.70534   84.234825 107.9676   102.74114
 118.57411  107.26645  101.530624  96.59697  113.62582  103.10612
 121.72643  107.40836  108.74336  106.60937  107.78319   99.32061
 102.9965   166.01889   77.6616   101.57896  120.63455   91.56507
 108.56815   97.40973  101.28533  128.62396  110.01235  139.6631
  85.156685 104.88852  122.18645  101.272095 120.78401  109.1622
 103.7544   114.368    127.469154 119.13191  120.61354  108.5831
 107.68419  126.90222   94.91366  105.213264 117.49124   94.69528
 104.64255  120.42469   84.208984 110.9613   107.295555 104.56062
 143.19136   82.266754 109.04371  102.98136  111.94773  106.442406
 121.6573   119.00331   99.99913   98.49946  119.94334   93.34736
 122.71333  101.35606   98.65115  103.475845 104.75467   91.70848
  86.55023   88.55454  116.34211  123.40636  117.72669  100.78062
 120.216446 114.124954 102.24745   97.46341   97.051186  88.820175
 105.77673  110.312004 119.7311   112.78589  115.98125  112.46998
  92.33779  103.19301  149.73181   95.50018   83.6567   114.34989
 115.81565  127.5147    93.90409  100.44456  141.15639   87.34332
  82.827866 131.64644  131.2163    90.72507  113.34375   93.6571
 112.23193  102.33899  127.96781  122.372856  94.377556 111.746864
 114.356544 119.741066 103.32199   98.05825  126.07568  108.36222
  93.367615 109.3337   118.545616 118.73927  109.35875  112.82957
 101.50413  121.40821  117.24428  109.04869  108.7792   127.79701
 123.583565 109.39302  130.764    113.83627   98.53728  103.37538 ]",0.39323467230443976,0.7535958720578088
9,15,2940,"[[ 0.85904586  0.0515714   0.01844808 ... -0.05210637 -0.02627776
  -0.03692747]
 [ 0.08066653  0.8116422  -0.01671221 ...  0.01081592 -0.12578599
  -0.00827138]
 [-0.01114596 -0.02451151  0.7759236  ... -0.04944758 -0.05419961
  -0.0609617 ]
 ...
 [ 0.02153225 -0.05638009 -0.051906   ...  0.7882075   0.01744209
   0.07968231]
 [ 0.03488439  0.03615609 -0.00884434 ... -0.0555107   0.7394926
  -0.14991099]
 [ 0.08810987  0.1175554  -0.05106673 ... -0.03161957 -0.14157908
   0.7581482 ]]","[ 71.143776 100.26908   83.56404   71.85602   62.69495   67.19357
  77.96535   58.500465  95.72394   81.64804   75.59197   70.58813
  69.507286  76.03911   63.625896  96.70733   85.191154  68.26655
  70.54182   73.97355   81.03399  565.09735   74.63849   94.70558
  91.90948   81.89905   61.496204  88.16348   85.66815   80.249855
  80.30044   84.49044   81.956566  76.08398   85.89543   73.285545
  81.90965   79.75462   92.338745  76.27774   82.69252   67.09876
  80.47966   77.84425   77.58562   86.31013   82.66004   61.271706
  73.129265  53.729996  67.7986   106.609825  67.42155   68.01394
  75.771324  71.542595  77.129974  64.46274   72.538635  73.44465
  78.365585  69.8699    73.204185  70.85821   77.70562   68.20575
  84.771416  77.70786   75.67547   77.50389   77.29258   67.32263
  76.352    109.9758    57.74409   74.093475  84.89799   70.708435
  78.10385   72.451385  68.9848    91.03551   65.988335  88.08843
  62.270565  77.13983   80.38176   71.13759   76.8168    82.48987
  78.18888   84.479195 100.30237   77.27127   88.89767   80.62089
  70.68219   82.01267   71.1999    71.93379   75.43063   70.43621
  75.69778   83.88067   61.351273  77.333855  77.03371   78.5486
  97.15931   59.126278  75.23779   77.12265   90.39643   75.80902
  84.75679   93.8511    72.98567   77.04004   84.94799   71.451195
  84.31161   74.9284    70.95238   73.39394   73.874954  66.9564
  68.979004  62.561665  77.84326   94.03522   87.62726   73.30938
  84.30179   71.430664  73.01481   65.02646   64.5035    68.99881
  73.66404   78.3518    82.07355   82.7389    85.88525   78.70867
  73.21113   65.95563  113.435036  71.282936  60.045322  84.6769
  81.566826  85.19544   75.400276  67.08089   75.96306   59.244267
  58.286087  94.31597   93.13242   68.94138   77.102684  66.81241
  79.01862   74.684364  88.11488   79.413345  68.368645  75.41081
  79.53802   75.84475   73.33568   64.64843   85.61596   73.03531
  68.74491   82.6942    68.67509   74.16526   69.62496   85.32908
  77.07659   88.92868   91.97758   75.44711   83.19083   89.9165
  83.94859   82.25063   91.35731   80.13062   71.921234  75.912315]",0.46822534510633007,0.8321456554390135
